token;web;address;telegram;twitter
9999 CBRC;https://coinranking.com/coin/JXwrsrA3D+9999cbrc-9999;['bitcoin/99996c1da5a089029088f00fe0f0a17ec0142049ac7a2fe7b0cf2063f60308b8'];;@PlanetaryPrimes
FROG CBRC;https://coinranking.com/coin/r7C9ZmLo1+frogcbrc-frog;['bitcoin/8c069c5648abe8d03b495bef081262ca6512f588ff1c7fcb1960779d9b586747'];;@CybordFrog
FREN CBRC;https://coinranking.com/coin/p2UrNVISB+frencbrc-fren;['bitcoin/79cdfb1f8ee4b03860e5b5f95576dae366a32ffd3ffd929db3b0f97218be561f'];;@OrdinalFriends
AROM CBRC;https://coinranking.com/coin/a0vwOI8sH+aromcbrc-arom;['bitcoin/b8c33c5777d731b944f8d241e8455c65cd6a05cd9d1edf3d63d672b233eef6c0'];;
JUNK CBRC;https://coinranking.com/coin/bpdu9QvsC+junkcbrc-junk;['bitcoin/30fc373461075e22a5093983cd06e832a7ddf6dbcdb7d1a24191b7531fa07083'];;@JUNKcbrc20
HODL CBRC;https://coinranking.com/coin/HKx_13Gni+hodlcbrc-hodl;['bitcoin/d84900b34b921c803eb82ed3690f3c8c4eb5381507da67682f6332bccb6191de'];;
CYBO CBRC;https://coinranking.com/coin/UOhiAMaGy+cybocbrc-cybo;['bitcoin/4ead21f168a777872bec3ddf393ac6b92d90cab05fc7aa321acb6adbede88d36'];;
BOBO CBRC;https://coinranking.com/coin/tUWAHvBsm+bobocbrc-bobo;['bitcoin/da1da137010e279ab6aac3c69b4e03a5562079116bdac8a91d861ed8dfb2ecc0'];;
ORDI CBRC;https://coinranking.com/coin/g5VJ02TO-+ordicbrc-ordi;['bitcoin/27795ae5e9986bcd2aeae823a65bf378a31137ff5212e2858475e1c88ab94a2c'];;
HUMP CBRC;https://coinranking.com/coin/ZKSveKAy9+humpcbrc-hump;['bitcoin/633d8b4dae44dba5e356e4b8af46175489ea805f57371d601e10e58694787039'];;
DGEN CBRC;https://coinranking.com/coin/i9o_XMb0q+dgencbrc-dgen;['bitcoin/17d2cbbd648adadeef41d9a5772b95a4ad3e86a1c7602476f271283aad21eca4'];;
BORG CBRC;https://coinranking.com/coin/oguCQoxdK+borgcbrc-borg;['bitcoin/361b1b6eff75b1ed430a721d056476c4cbb27e797bee56184834420caae51f5d'];;
MAXI CBRC;https://coinranking.com/coin/IFlhQMwH9+maxicbrc-maxi;['bitcoin/d16f9a5ce98d8822d565a1427b642266441a3c8ba1a4055825d3d7a1439d2e80'];;
PINO CBRC;https://coinranking.com/coin/9atRxLRMP+pinocbrc-pino;['bitcoin/ecf8a293e7b2087661cec48c1f9384619646624dbbf166e35b486ee109543c3e'];;
YUKI CBRC;https://coinranking.com/coin/hfrnR1w9T+yukicbrc-yuki;['bitcoin/489033a8b6d14bde68572141b74de0d6e89db5717db431e6fd829022c4b69db5'];;@YukiOrdinals
ERLY CBRC;https://coinranking.com/coin/-m9oGFTwp+erlycbrc-erly;['bitcoin/5734152e0b55ac8d2c3154abfea320453bda9b0b3b69deb6ef930ded97d04059'];;
NAKA CBRC;https://coinranking.com/coin/HyKKJWEaF+nakacbrc-naka;['bitcoin/a006ea0226680d8b881b2ed23991e9d30ba3a94a419193b071e8c2581768f098'];;
$ORD CBRC;https://coinranking.com/coin/RgULgfYZq+ordcbrc-ord;['bitcoin/f4eb60d2f35dc5fb35b8ede5ea8b1aafe7f83a43448855066503b70aa3b187cd'];;
CUBE CBRC;https://coinranking.com/coin/rh_c-jK89+cubecbrc-cube;['bitcoin/4bddc947567cbb9f697858578c813db4dbfd95b8f09a64d4ff0d121f7352330c'];;
ATOR CBRC;https://coinranking.com/coin/kGDir6aiU+atorcbrc-ator;['bitcoin/d95b2098e05e15fc027405e22209ddbaf5ee990345f21cb804b24ef1004c3c8a'];;@CyBORg_BTC
PRAY CBRC;https://coinranking.com/coin/0sP4fT0sj+praycbrc-pray;['bitcoin/e7a2f10bc8702d0bca15916692185974e952e632526cad8bc82f394bbe95a8a7'];;@PRAY_CBRC20
OSPY CBRC;https://coinranking.com/coin/xTk7ADV0g+ospycbrc-ospy;['bitcoin/8ba48bbac51d5928373965a874570c3c78b3f291519f25b71608d2b2316745a5'];;@OrdSpy
SLIT CBRC;https://coinranking.com/coin/u_CXGmmdQ+slitcbrc-slit;['bitcoin/d3f6ef94c1a2373457e1cdf826976cec553654ad99b0672cda6dfbccebc8296f'];;@ShibLite
CADO CBRC;https://coinranking.com/coin/wx3V2d04t+cadocbrc-cado;['bitcoin/38f39ae14f82469cdafaac3464dcf837d0fe34df60b66797962557d3f53ce761'];;
XORD CBRC;https://coinranking.com/coin/6MBJdq5-I+xordcbrc-xord;['bitcoin/59d823c529b2de4077e6a08ca4b44464e9c60acacf88cc59ace5b763a05dcc1a'];;
1984 CBRC;https://coinranking.com/coin/w5_ELwruh+1984cbrc-1984;['bitcoin/47882f079efb408eefb488edf0c4d62658c99eb06771a772db86baf5c39bd27b'];;
MILF CBRC;https://coinranking.com/coin/FAHE2duv7+milfcbrc-milf;['bitcoin/4b4da36d48c9fe8c2bb9a7d7a4f5de2b97b92e74b666cdc2c4b0658873acb106'];;
LUKE CBRC;https://coinranking.com/coin/YfIiRoiNI+lukecbrc-luke;['bitcoin/121b94ff2590c85ba559f88defb41cb1435da36dea2db94f5524cb60758dd913'];;
ELON CBRC;https://coinranking.com/coin/UyQDFqDaF+eloncbrc-elon;['bitcoin/0a7ea4aef86c8d47d7f09f5eee6a4e9407d8e49ef185267ec0d9ab25152c652f'];;
OTTO CBRC;https://coinranking.com/coin/qDTwpgHwT+ottocbrc-otto;['bitcoin/3cbc5fe91cddb4b1804542f7d0065c89647d9671b56709edf046e4d187368f8f'];;
FOMO CBRC;https://coinranking.com/coin/qtFtKd9HL+fomocbrc-fomo;['bitcoin/b99244ebeb5f2472e41aadcd75d3d4c2c900e8751e1b07359ab40bdd9be6c8c9'];;
MOON CBRC;https://coinranking.com/coin/lCp4ZWCDa+mooncbrc-moon;['bitcoin/e996daf3481bc1a5167447fce61ba0a3248f3009b49428e3974c43e1d3b63711'];;
MICE CBRC;https://coinranking.com/coin/n4XP4IIgT+micecbrc-mice;['bitcoin/ea4e122991108bf7bcacf4626df9e7ad076c886230818f819196811d395a7f47'];;
BEAR CBRC;https://coinranking.com/coin/V_SJ42cHn+bearcbrc-bear;['bitcoin/9629dd97810c85e54b6056760ee2b164039ee0cdfdc4c2457a1efe93becb6487'];;
ETHS CBRC;https://coinranking.com/coin/fD46DjKcL+ethscbrc-eths;['bitcoin/3c79308e8f87887715f78419c5e00598bc18d578c23b8ed5723e6bdd1ce00aad'];;
BTCS CBRC;https://coinranking.com/coin/oq3BKb2H6+btcscbrc-btcs;['bitcoin/2e1e15a50017bf70a234798258487520291b017697378a8489d881d49cdb7a50'];;
RCSV CBRC;https://coinranking.com/coin/ujf0ExEC9+rcsvcbrc-rcsv;['bitcoin/a47617b5c7e28ead0f1aa8d5f0c92e42678f9fcef81be0781eeddafffe9ae353'];;
EURO CBRC;https://coinranking.com/coin/1o5_n9jP2+eurocbrc-euro;['bitcoin/851d46e95064dc4a3fb970aa2be9d8b3029248272567836f3636f29e42e1dd15'];;
SHIB CBRC;https://coinranking.com/coin/NNLHaylKf+shibcbrc-shib;['bitcoin/46144a8502974e2898f4d63703219eb1e59a9816efb5130f26fc6c6990539ac6'];;
SATS CBRC;https://coinranking.com/coin/whPbnGYLL+satscbrc-sats;['bitcoin/280f62d3d8a0cba38384418eef9fd217c81c5e0e12fdff90e3658e2add366be7'];;
STSH CBRC;https://coinranking.com/coin/xBPNRb5y-+stshcbrc-stsh;['bitcoin/b1db0c147487be2e74616c387e11ee4dad12ea20e85d9ecd86451eee96dab212'];;
CBOR CBRC;https://coinranking.com/coin/aMCB3_Ciq+cborcbrc-cbor;['bitcoin/0f3c00a572b65adfaec8d849d1e6dbb4c4f3eacf7b0299b6b09b2f2aee993b78'];;
GAS CBRC;https://coinranking.com/coin/AW-9YbR15+gascbrc-gas;['bitcoin/2dee2b48f3a6bdd43620848c124b8ae2138a9fc05ed641a67b55aef3e243faae'];;
BMPT CBRC;https://coinranking.com/coin/Qg-SeSTao+bmptcbrc-bmpt;['bitcoin/7b4eee5f0b52d5d1f58fb008b4d40f1ad0f471b12b87d747a9751a3c7334069a'];;
